0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,T. TỴ,,,,65,T. TỴ,,,,65,T. TỴ,,,,65,T. TỴ,,,,65
,HỎA (-),,THIÊN DI,,,HỎA (-),,THIÊN DI,,,HỎA (-),,THIÊN DI,,,HỎA (-),,THIÊN DI,,
,,,THIÊN LƯƠNG,,,,,THIÊN LƯƠNG,,,,,THIÊN LƯƠNG,,,,,THIÊN LƯƠNG,,
,Thiên Hình,,,Đà La,,Thiên Hình,,,Đà La,,Thiên Hình,,,Đà La,,Thiên Hình,,,Đà La,
,Thai Phụ,,,Quả Tú,,Thai Phụ,,,Quả Tú,,Thai Phụ,,,Quả Tú,,Thai Phụ,,,Quả Tú,
,Thiên Đức,,,L. Đà La(H),,Thiên Đức,,,L. Đà La(H),,Thiên Đức,,,L. Đà La(H),,Thiên Đức,,,L. Đà La(H),
,Phúc Đức,,,L.Kình Dương(H),,Phúc Đức,,,L.Kình Dương(H),,Phúc Đức,,,L.Kình Dương(H),,Phúc Đức,,,L.Kình Dương(H),
,L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H),L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H),L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H),L. Lộc Tồn(V),L. ĐV Hóa Khoa(M),P.Hóa Quyền: Cung Điền Trạch,,L. ĐVKình Dương(H)
,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan,L. Đào Hoa,,P.Hóa Lộc: Cung Tử Tức,,L. ĐVHồng Loan
,,,P.Hóa Khoa: Cung Thiên Di,,,,,P.Hóa Khoa: Cung Thiên Di,,,,,P.Hóa Khoa: Cung Thiên Di,,,,,P.Hóa Khoa: Cung Thiên Di,,
